section,row_id,method,stage1_prior,readout_or_variant,train_schedule,clamp_mm,batch_size,ME_mm,STD_mm,P95_ME_mm,SR5_pct,SR10_pct,heatmap_cosine_pct,heatmap_mIoU_pct,surface_normal_mm,delta_vs_1p4317_mm,recommended_use,notes
main,1,Stage1 PAConv heatmap prior,finetune_paconv_heatmap,heatmap top-k,stage1 PAConv heatmap,NA,4,1.6257,0.9020,2.0108,100.00,100.00,79.94,57.04,,0.1940,baseline,"Use as fixed prior source baseline; this is the PAConv checkpoint used for 1.4317 HMR."
main,2,Frozen heatmap-only top-k,finetune_paconv_heatmap,heatmap-only top-k,frozen aux-drop heatmap-only,NA,4,1.4729,0.8815,2.0055,100.00,100.00,89.44,66.37,0.2274,0.0412,main comparison,"Strong non-residual baseline; shows HMR gains are smaller but positive."
main,3,DeepPA HMR full feature+xyz,finetune_paconv_heatmap,heatmap-attention residual,train-HM plateau,3,4,1.4317,0.8755,1.8638,100.00,100.00,69.90,25.85,0.2173,0.0000,main best,"Primary 1.43 result; use as best fixed-prior HMR."
ablation,1,DeepPA HMR feature-only residual,finetune_paconv_heatmap,feature-only heatmap residual,train-HM plateau,3,4,1.4376,0.8588,2.0002,100.00,100.00,69.67,25.12,,0.0059,ablation,"Very close to full feature+xyz; do not overclaim large effect of xyz pooling."
ablation,2,DeepPA HMR no-plateau immediate geometry,finetune_paconv_heatmap,heatmap-attention residual,fixed/immediate geometry,3,4,1.4428,0.8596,1.8860,100.00,100.00,69.21,24.79,,0.0111,ablation,"Plateau helps in this fixed-prior setting, but effect is modest."
ablation,3,DeepPA HMR p2p-only surface,finetune_paconv_heatmap,heatmap-attention residual train-HM plateau,p2p-only surface,3,4,1.4609,0.8657,1.9451,100.00,100.00,69.12,25.03,0.2203,0.0292,ablation,"Top-k curvature/normal surface diagnostics appear better than p2p-only."
ablation,4,DeepPA HMR batch8,finetune_paconv_heatmap,heatmap-attention residual,train-HM plateau,3,8,1.4830,0.8813,1.8586,100.00,100.00,70.11,26.35,0.2120,0.0513,ablation,"Batch size change worsened ME despite reasonable surface normal."
clamp,0,No residual clamp / 0mm,finetune_paconv_heatmap,heatmap-attention residual,train-HM plateau,0,4,1.4511,0.8706,1.8923,100.00,100.00,67.46,22.95,0.2260,0.0194,internal or appendix,"Useful comparator, but clamp trend is not monotonic."
clamp,1,Residual clamp 1mm,finetune_paconv_heatmap,heatmap-attention residual,train-HM plateau,1,4,1.4351,0.8799,1.9597,100.00,100.00,71.46,27.35,0.2152,0.0034,internal or appendix,"Essentially tied with 3mm; avoid presenting 3mm as universally optimal from monotonic trend."
clamp,2,Residual clamp 2mm,finetune_paconv_heatmap,heatmap-attention residual,train-HM plateau,2,4,1.4777,0.8970,1.8941,100.00,100.00,70.02,26.22,0.2180,0.0460,internal or appendix,"Worse than no clamp and 3mm."
clamp,3,Residual clamp 3mm,finetune_paconv_heatmap,heatmap-attention residual,train-HM plateau,3,4,1.4317,0.8755,1.8638,100.00,100.00,69.90,25.85,0.2173,0.0000,main best,"Best ME in this sweep, but only slightly better than 1mm."
clamp,4,Residual clamp 4mm,finetune_paconv_heatmap,heatmap-attention residual,train-HM plateau,4,4,1.4796,0.8943,2.1070,100.00,100.00,68.79,24.70,0.2205,0.0479,internal or appendix,"Upper clamp did not improve over 3mm."
clamp,5,Residual clamp 5mm,finetune_paconv_heatmap,heatmap-attention residual,train-HM plateau,5,4,1.4734,0.8934,1.9220,100.00,100.00,68.82,24.84,0.2254,0.0417,internal or appendix,"Upper clamp did not improve over 3mm."
repro,1,Current-code fixed-prior repro,finetune_paconv_heatmap,heatmap-attention residual,train-HM plateau,3,4,1.4755,0.8743,1.9206,100.00,100.00,69.49,25.82,0.2246,0.0438,internal reproducibility,"Same fixed prior but current code path; keep out of main table until old-commit reproduction completes."
robustness,1,PAConv rerun prior + HMR plateau,paconv_heat_final_split_rerun_20260516,heatmap-attention residual,train-HM plateau,3,4,1.5195,0.9350,1.9930,100.00,100.00,67.88,24.18,0.2315,0.0878,robustness only,"Shows sensitivity to PAConv prior/training variance; not a main-claim number."
robustness,2,PAConv rerun prior + HMR no plateau,paconv_heat_final_split_rerun_20260516,heatmap-attention residual,fixed/immediate geometry,3,4,1.4788,0.9411,1.9906,100.00,100.00,70.07,26.52,0.2346,0.0471,robustness only,"With rerun PAConv, no-plateau beats plateau; reinforces that plateau should not be framed as universally improving."
stage1_reference,1,PAConv heat final split,paconv_heat_final_split,heatmap top-k,stage1 PAConv heatmap,NA,4,1.5846,0.8847,2.0031,100.00,100.00,80.05,56.97,,0.1529,reference,"Better PAConv-only ME than finetune_paconv_heatmap, but not the fixed prior used for 1.4317."
stage1_reference,2,PAConv rerun 20260516,paconv_heat_final_split_rerun_20260516,heatmap top-k,stage1 PAConv heatmap,NA,4,1.6228,0.9027,2.0489,100.00,100.00,80.04,56.42,0.2775,0.1911,reference,"Rerun PAConv similar heatmap metrics but different downstream HMR behavior."
